attack,clean_f1,adv_f1,f1_drop,spell_correct_f1,adv_train_f1
TextFooler,0.9850828374502334,0.3193548387096774,0.665727998740556,0.6513513513513512,0.9647992469022286
DeepWordBug,0.9850828374502334,0.3478666666666667,0.6372161707835666,0.898830616583983,0.9541952400161355
BAE,0.9850828374502334,0.5509906828635452,0.43409215458668815,0.615766590389016,0.9406504065040651
